name,link,severity,package,version,fixedBy
CVE-2026-42496,https://avd.aquasec.com/nvd/cve-2026-42496,CRITICAL,perl-base,5.40.1-6,
CVE-2026-8376,https://avd.aquasec.com/nvd/cve-2026-8376,CRITICAL,perl-base,5.40.1-6,
CVE-2025-69720,https://avd.aquasec.com/nvd/cve-2025-69720,HIGH,libncursesw6,6.5+20250216-2,
CVE-2025-69720,https://avd.aquasec.com/nvd/cve-2025-69720,HIGH,libtinfo6,6.5+20250216-2,
CVE-2025-69720,https://avd.aquasec.com/nvd/cve-2025-69720,HIGH,ncurses-base,6.5+20250216-2,
CVE-2025-69720,https://avd.aquasec.com/nvd/cve-2025-69720,HIGH,ncurses-bin,6.5+20250216-2,
CVE-2026-42497,https://avd.aquasec.com/nvd/cve-2026-42497,HIGH,perl-base,5.40.1-6,
CVE-2026-48962,https://avd.aquasec.com/nvd/cve-2026-48962,HIGH,perl-base,5.40.1-6,
CVE-2026-9538,https://avd.aquasec.com/nvd/cve-2026-9538,HIGH,perl-base,5.40.1-6,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,bsdutils,1:2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,bsdutils,1:2.41-5,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,libblkid1,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,libblkid1,2.41-5,
CVE-2026-5435,https://avd.aquasec.com/nvd/cve-2026-5435,MEDIUM,libc-bin,2.41-12+deb13u3,
CVE-2026-5450,https://avd.aquasec.com/nvd/cve-2026-5450,MEDIUM,libc-bin,2.41-12+deb13u3,
CVE-2026-5928,https://avd.aquasec.com/nvd/cve-2026-5928,MEDIUM,libc-bin,2.41-12+deb13u3,
CVE-2026-6238,https://avd.aquasec.com/nvd/cve-2026-6238,MEDIUM,libc-bin,2.41-12+deb13u3,
CVE-2026-5435,https://avd.aquasec.com/nvd/cve-2026-5435,MEDIUM,libc6,2.41-12+deb13u3,
CVE-2026-5450,https://avd.aquasec.com/nvd/cve-2026-5450,MEDIUM,libc6,2.41-12+deb13u3,
CVE-2026-5928,https://avd.aquasec.com/nvd/cve-2026-5928,MEDIUM,libc6,2.41-12+deb13u3,
CVE-2026-6238,https://avd.aquasec.com/nvd/cve-2026-6238,MEDIUM,libc6,2.41-12+deb13u3,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,liblastlog2-2,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,liblastlog2-2,2.41-5,
CVE-2026-34743,https://avd.aquasec.com/nvd/cve-2026-34743,MEDIUM,liblzma5,5.8.1-1,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,libmount1,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,libmount1,2.41-5,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,libsmartcols1,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,libsmartcols1,2.41-5,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,libuuid1,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,libuuid1,2.41-5,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,login,1:4.16.0-2+really2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,login,1:4.16.0-2+really2.41-5,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,mount,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,mount,2.41-5,
CVE-2026-5704,https://avd.aquasec.com/nvd/cve-2026-5704,MEDIUM,tar,1.35+dfsg-3.1,
CVE-2026-27456,https://avd.aquasec.com/nvd/cve-2026-27456,MEDIUM,util-linux,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,MEDIUM,util-linux,2.41-5,
CVE-2026-27171,https://avd.aquasec.com/nvd/cve-2026-27171,MEDIUM,zlib1g,1:1.3.dfsg+really1.3.1-1+b1,
CVE-2011-3374,https://avd.aquasec.com/nvd/cve-2011-3374,LOW,apt,3.0.3,
TEMP-0841856-B18BAF,https://security-tracker.debian.org/tracker/TEMP-0841856-B18BAF,LOW,bash,5.2.37-2+b9,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,bsdutils,1:2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,bsdutils,1:2.41-5,
CVE-2017-18018,https://avd.aquasec.com/nvd/cve-2017-18018,LOW,coreutils,9.7-3,
CVE-2025-5278,https://avd.aquasec.com/nvd/cve-2025-5278,LOW,coreutils,9.7-3,
CVE-2011-3374,https://avd.aquasec.com/nvd/cve-2011-3374,LOW,libapt-pkg7.0,3.0.3,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,libblkid1,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,libblkid1,2.41-5,
CVE-2010-4756,https://avd.aquasec.com/nvd/cve-2010-4756,LOW,libc-bin,2.41-12+deb13u3,
CVE-2018-20796,https://avd.aquasec.com/nvd/cve-2018-20796,LOW,libc-bin,2.41-12+deb13u3,
CVE-2019-1010022,https://avd.aquasec.com/nvd/cve-2019-1010022,LOW,libc-bin,2.41-12+deb13u3,
CVE-2019-1010023,https://avd.aquasec.com/nvd/cve-2019-1010023,LOW,libc-bin,2.41-12+deb13u3,
CVE-2019-1010024,https://avd.aquasec.com/nvd/cve-2019-1010024,LOW,libc-bin,2.41-12+deb13u3,
CVE-2019-1010025,https://avd.aquasec.com/nvd/cve-2019-1010025,LOW,libc-bin,2.41-12+deb13u3,
CVE-2019-9192,https://avd.aquasec.com/nvd/cve-2019-9192,LOW,libc-bin,2.41-12+deb13u3,
CVE-2010-4756,https://avd.aquasec.com/nvd/cve-2010-4756,LOW,libc6,2.41-12+deb13u3,
CVE-2018-20796,https://avd.aquasec.com/nvd/cve-2018-20796,LOW,libc6,2.41-12+deb13u3,
CVE-2019-1010022,https://avd.aquasec.com/nvd/cve-2019-1010022,LOW,libc6,2.41-12+deb13u3,
